0.0476428,0.103336,1.52096
0.0531291,0.221129,1.71614
0.0217991,0.336298,1.68009
0.00621062,0.443062,1.61183
-0.0152286,0.550088,1.59261
-0.0209846,0.651803,1.56581
-0.0184649,0.770811,1.53498
-0.0116373,0.871631,1.51234
-0.00669393,0.97347,1.53073
-0.00455502,1.09051,1.54237
-0.00882903,1.20283,1.5456
-0.0057244,1.30479,1.53515
0.0122441,1.42974,1.53864
0.0187346,1.54576,1.54964
0.020828,1.64773,1.54954
0.0219883,1.7501,1.53835
0.0257654,1.85204,1.52896
0.031636,1.95677,1.52406
0.0418594,2.08508,1.51606
0.0481082,2.18691,1.50281
0.0644424,2.29672,1.47965
0.0814501,2.42177,1.47303
0.0981345,2.52793,1.46082
0.122841,2.63561,1.45188
0.130077,2.73704,1.43116
0.144996,2.84727,1.41244
